INFO 2024-09-04 16:36:16,161 autoreload:636 Watching for file changes with StatReloader
INFO 2024-09-04 16:37:41,628 autoreload:636 Watching for file changes with StatReloader
WARNING 2024-09-04 16:42:52,615 log:224 Bad Request: /get-jwt-token
WARNING 2024-09-04 16:42:52,615 basehttp:161 "POST /get-jwt-token HTTP/1.1" 400 67
WARNING 2024-09-04 16:43:19,936 log:224 Not Found: /df2cd9ac95e5216acc72.hot-update.json
WARNING 2024-09-04 16:43:19,936 basehttp:161 "GET /df2cd9ac95e5216acc72.hot-update.json HTTP/1.1" 404 179
INFO 2024-09-04 16:49:09,012 autoreload:636 Watching for file changes with StatReloader
INFO 2024-09-04 16:49:32,126 basehttp:161 "POST /get-jwt-token HTTP/1.1" 200 225
INFO 2024-09-04 16:49:32,149 basehttp:161 "GET /api/v1/system/user/details HTTP/1.1" 200 146
INFO 2024-09-04 16:49:32,168 basehttp:161 "GET /api/v1/system/permissions HTTP/1.1" 200 1197
INFO 2024-09-04 16:49:32,180 basehttp:161 "GET /api/v1/system/user/permission HTTP/1.1" 200 56
INFO 2024-09-04 16:49:37,325 basehttp:161 "GET /api/v1/system/role?limit=99999 HTTP/1.1" 200 211
INFO 2024-09-04 16:49:37,326 basehttp:161 "GET /api/v1/system/user?page=1&limit=10 HTTP/1.1" 200 416
INFO 2024-09-04 16:49:59,269 basehttp:161 "POST /api/v1/system/user HTTP/1.1" 200 49
INFO 2024-09-04 16:49:59,297 basehttp:161 "GET /api/v1/system/user?page=1&limit=10 HTTP/1.1" 200 767
INFO 2024-09-04 16:50:03,438 basehttp:161 "DELETE /api/v1/system/user/1 HTTP/1.1" 200 49
WARNING 2024-09-04 16:50:03,460 log:224 Unauthorized: /api/v1/system/user
WARNING 2024-09-04 16:50:03,461 basehttp:161 "GET /api/v1/system/user?page=1&limit=10 HTTP/1.1" 401 31
INFO 2024-09-04 16:50:09,697 basehttp:161 "POST /get-jwt-token HTTP/1.1" 200 225
INFO 2024-09-04 16:50:09,717 basehttp:161 "GET /api/v1/system/user/details HTTP/1.1" 200 146
INFO 2024-09-04 16:50:09,732 basehttp:161 "GET /api/v1/system/permissions HTTP/1.1" 200 1197
INFO 2024-09-04 16:50:09,745 basehttp:161 "GET /api/v1/system/user/permission HTTP/1.1" 200 56
INFO 2024-09-04 16:50:09,786 basehttp:161 "GET /api/v1/system/user?page=1&limit=10 HTTP/1.1" 200 420
INFO 2024-09-04 16:50:09,787 basehttp:161 "GET /api/v1/system/role?limit=99999 HTTP/1.1" 200 211
INFO 2024-09-04 16:50:12,967 basehttp:161 "GET /api/v1/system/role?page=1&limit=10 HTTP/1.1" 200 211
INFO 2024-09-04 16:50:12,996 basehttp:161 "GET /api/v1/system/all-permissions HTTP/1.1" 200 4565
INFO 2024-09-04 16:50:14,215 basehttp:161 "GET /api/v1/system/user?page=1&limit=10 HTTP/1.1" 200 420
INFO 2024-09-04 16:50:14,217 basehttp:161 "GET /api/v1/system/role?limit=99999 HTTP/1.1" 200 211
WARNING 2024-09-04 16:50:17,365 log:224 Bad Request: /get-jwt-token
WARNING 2024-09-04 16:50:17,366 basehttp:161 "POST /get-jwt-token HTTP/1.1" 400 67
INFO 2024-09-04 16:50:21,465 basehttp:161 "POST /get-jwt-token HTTP/1.1" 200 225
INFO 2024-09-04 16:50:21,486 basehttp:161 "GET /api/v1/system/user/details HTTP/1.1" 200 146
INFO 2024-09-04 16:50:21,504 basehttp:161 "GET /api/v1/system/permissions HTTP/1.1" 200 1197
INFO 2024-09-04 16:50:21,518 basehttp:161 "GET /api/v1/system/user/permission HTTP/1.1" 200 56
INFO 2024-09-04 16:50:21,548 basehttp:161 "GET /api/v1/system/user?page=1&limit=10 HTTP/1.1" 200 420
INFO 2024-09-04 16:50:21,549 basehttp:161 "GET /api/v1/system/role?limit=99999 HTTP/1.1" 200 211
INFO 2024-09-04 16:50:28,958 basehttp:161 "GET /api/v1/system/role?page=1&limit=10 HTTP/1.1" 200 211
INFO 2024-09-04 16:50:28,977 basehttp:161 "GET /api/v1/system/all-permissions HTTP/1.1" 200 4565
INFO 2024-09-04 16:50:30,009 basehttp:161 "GET /api/v1/system/user?page=1&limit=10 HTTP/1.1" 200 420
